UserId,ProductId,Rating
5485,290,5
7750,561,5
5087,21,5
7751,530,5
7837,461,4
2269,164,5
4340,769,5
3894,607,5
60,459,1
6894,264,4
499,494,5
61,371,5
868,504,5
5874,495,4
4280,361,4
7062,189,5
5640,503,5
4198,793,5
775,698,5
2873,551,5
5765,582,5
4814,461,5
6392,319,5
1271,273,5
3276,65,5
672,180,5
2120,514,5
7911,595,5
4082,649,4
4993,534,4
3501,56,4
218,178,5
481,239,4
7596,374,4
4051,404,5
6117,433,5
4203,672,4
5821,69,5
2280,793,5
7450,205,5
5424,19,5
2125,581,5
402,474,3
5321,519,5
4765,64,5
6694,663,5
377,535,3
4877,349,5
7208,609,5
6478,432,5
4588,165,5
1040,487,5
3672,87,4
1011,359,5
5414,371,5
574,510,5
7951,687,4
6835,224,5
4187,212,5
2151,152,5
7259,661,5
2258,207,5
3764,671,5
2810,477,5
226,173,5
6417,544,4
6251,607,5
2738,669,5
6990,473,4
6765,8,5
414,432,5
7850,303,5
5572,188,4
4185,808,5
5741,156,5
5364,5,5
2312,628,5
2732,418,5
1703,609,5
3850,187,5
3783,17,5
1835,598,5
7532,347,5
832,755,4
5486,422,4
284,747,5
6867,312,5
1104,64,5
748,375,5
1514,675,5
3620,647,5
5225,154,5
5035,314,5
3984,545,5
2142,554,5
141,221,5
3965,157,5
83,4,5
6627,24,5
7335,687,5
7985,595,5
7984,113,5
3191,666,5
7049,205,5
28,771,5
1371,598,5
4505,152,5
5333,551,5
256,154,5
5391,682,3
4287,481,4
2547,461,5
6427,385,3
2554,421,5
5025,769,5
1567,469,5
5044,597,5
4973,202,5
1715,182,5
6594,18,5
3848,577,5
2261,423,4
1430,554,4
879,665,5
6405,193,4
4238,358,5
6588,98,5
1867,478,5
7075,424,1
1337,11,5
3269,324,5
4703,109,5
1080,459,5
616,194,5
5922,551,5
4958,61,5
6733,57,5
2632,486,4
563,184,5
1501,736,5
1706,558,5
1114,775,4
5598,265,3
6165,717,5
1464,686,5
472,223,5
1194,340,5
7661,714,5
7114,366,5
4979,143,5
3369,672,5
4280,209,5
769,575,5
4566,544,5
951,167,5
6691,304,5
5375,254,5
511,506,1
4022,58,4
752,6,5
361,165,3
2095,462,5
4270,359,5
6348,485,5
2280,517,5
1623,371,5
3315,415,5
3004,52,5
7957,69,5
3589,563,5
6314,502,4
210,133,5
6519,223,1
4091,581,5
6420,640,5
951,561,5
4070,81,5
1372,710,5
1050,415,5
487,580,5
7505,338,5
7068,21,5
1865,314,5
802,224,5
1113,792,5
4514,423,3
4929,756,5
6578,581,5
1722,625,5
2841,7,5
349,672,5
2002,634,5
3966,564,5
7357,373,3
2296,630,5
2030,273,5
3146,69,5
203,768,5
6783,596,5
1772,95,4
3646,686,4
2137,676,5
1915,664,5
5749,63,5
3659,792,4
3661,155,5
3862,646,5
20,235,5
3551,57,5
6703,501,5
6920,77,5
207,511,5
5771,506,5
7468,205,5
5881,691,5
4194,422,5
5411,557,5
3271,23,5
6365,683,5
2057,154,4
3937,133,3
5044,663,5
7039,87,5
3987,767,5
2772,491,5
2834,190,5
3532,614,5
874,166,4
7696,104,5
5122,666,4
7038,511,5
6766,686,5
5691,63,5
1387,625,5
2570,413,5
6702,213,5
4827,515,5
4390,485,5
2379,19,5
4654,287,5
296,460,4
6475,415,5
2641,155,5
2894,413,5
7379,743,5
1398,495,5
315,154,5
2064,404,5
2167,201,5
2349,663,5
3503,544,4
4358,614,5
5334,191,2
5979,55,5
5649,663,5
6101,137,3
508,475,5
6768,385,5
4615,6,5
5561,473,5
1668,246,5
3131,272,5
5427,612,5
1495,605,4
4043,129,5
5541,718,5
5549,624,5
6402,312,5
2247,306,3
6200,459,5
1174,414,5
5005,50,5
1419,349,5
7303,649,5
7624,531,5
2073,198,5
7521,423,4
4439,466,5
2499,360,4
6118,727,5
7659,268,5
6435,502,5
891,140,5
7377,163,5
2037,89,5
5205,62,5
4849,79,5
6603,417,5
5566,730,5
1885,686,4
302,672,4
1569,564,5
4935,413,5
2052,208,5
6872,671,5
5783,473,5
3984,279,4
5972,510,5
801,540,5
6060,143,5
652,221,5
4804,429,4
5187,716,5
4864,416,5
5443,662,5
4633,794,4
3205,316,5
6823,318,5
946,179,5
1534,578,5
4942,649,5
2040,532,5
6432,575,4
65,22,5
6807,156,5
7652,508,5
2546,532,5
537,316,5
3124,597,4
4536,734,5
191,457,5
2673,108,5
2908,491,5
2064,415,5
4073,342,5
2244,287,5
1414,165,5
1662,602,5
1955,108,5
7984,152,5
2238,415,5
2088,563,5
6528,433,5
901,324,3
7382,530,5
4955,177,5
