UserId,ProductId,Rating
188,12,5
155,365,5
151,34,5
140,258,5
6,90,5
136,279,4
6,288,5
72,162,5
139,161,5
101,192,5
175,391,5
9,170,5
5,372,5
193,52,5
70,154,4
152,250,5
106,255,5
170,143,5
64,135,5
103,387,5
14,14,5
97,273,5
65,100,5
101,165,5
150,423,5
61,249,4
45,138,5
81,447,5
96,13,5
84,399,5
59,132,5
18,85,5
65,415,5
151,182,3
56,410,5
42,433,5
29,101,4
15,229,5
21,328,5
74,19,5
99,21,5
117,225,5
184,6,5
196,369,5
92,16,5
147,141,5
1,194,5
116,334,5
37,309,5
18,416,3
175,389,4
95,190,5
111,87,5
33,84,4
92,402,5
199,168,5
81,130,5
171,313,5
120,203,5
142,15,5
88,315,5
112,162,5
124,13,4
35,270,5
139,140,5
24,275,5
52,208,5
115,189,5
180,298,5
94,158,5
27,7,5
126,200,5
177,63,5
5,297,5
68,440,5
98,438,5
20,229,5
79,433,5
3,385,4
56,191,5
74,195,5
39,206,5
52,426,5
195,183,5
54,254,5
177,51,5
28,379,5
159,181,5
34,44,5
56,193,5
23,443,5
44,431,5
175,64,5
153,218,5
131,380,2
18,12,5
176,437,4
48,353,4
110,55,5
175,21,4
159,37,5
163,286,5
22,182,5
129,171,5
92,93,5
109,266,5
41,102,5
27,361,5
34,253,3
176,343,5
92,328,5
33,249,5
47,61,2
186,2,5
162,370,5
75,119,4
192,434,5
24,108,5
189,444,5
138,161,4
53,359,5
180,111,5
97,60,3
87,353,5
91,305,5
66,326,5
151,152,5
182,301,4
125,13,5
118,310,4
152,285,5
113,47,5
56,79,5
117,274,5
49,341,5
75,186,5
62,200,5
89,107,5
5,410,5
200,321,5
54,23,5
108,51,5
146,130,5
149,286,5
37,8,5
108,247,5
29,5,3
108,168,5
58,107,5
147,420,5
44,67,5
86,268,5
108,249,5
165,441,5
112,137,5
160,199,5
134,140,4
61,336,3
122,321,4
191,215,5
138,186,5
141,51,3
164,366,5
180,306,5
178,446,3
164,16,2
56,204,5
199,317,5
71,305,5
144,55,5
80,241,5
167,57,4
25,185,5
53,172,5
154,111,5
130,93,5
137,58,5
152,173,5
136,101,4
134,432,3
89,387,5
127,304,4
118,262,5
167,242,5
166,154,5
57,16,5
179,343,4
14,338,5
33,80,5
175,218,5
182,248,5
100,134,5
110,68,1
174,44,5
12,373,5
65,272,5
132,417,5
22,299,4
68,165,5
164,169,5
173,174,5
34,149,1
20,409,3
169,416,5
194,55,5
85,314,5
38,276,5
65,313,5
165,10,5
52,96,5
146,177,5
73,372,4
156,403,5
134,331,5
174,301,5
161,33,5
172,171,5
76,92,5
127,23,5
111,354,5
16,255,5
22,443,5
63,325,5
108,299,5
162,321,5
80,417,5
54,177,5
21,105,4
158,410,4
168,65,5
139,261,4
150,298,5
123,16,5
39,410,5
131,212,4
154,154,4
65,8,5
91,140,5
99,251,5
67,440,5
39,334,4
85,85,5
150,246,5
174,171,5
89,337,5
75,61,5
128,152,4
146,214,5
44,322,5
23,227,5
27,91,4
79,312,5
80,154,5
137,209,5
50,169,5
135,119,4
85,307,5
125,375,3
71,307,5
198,346,5
137,136,5
7,91,4
129,6,5
149,279,5
44,434,5
21,435,4
172,98,4
2,271,5
31,98,5
152,2,5
68,295,5
179,138,5
8,63,5
102,150,5
40,190,5
83,308,5
138,218,5
76,360,5
136,214,5
102,391,5
128,52,5
38,80,5
72,326,5
46,165,5
135,431,5
186,96,5
119,441,4
117,271,5
68,324,4
158,71,5
120,149,5
118,376,5
169,127,5
51,153,5
63,259,5
51,142,5
92,108,5
124,81,5
170,304,5
75,245,5
57,2,5
41,223,5
138,141,5
145,200,5
32,247,5
55,188,5
28,435,5
51,252,5
33,66,5
115,270,4
14,103,5
186,14,5
39,338,5
77,142,5
68,407,5
10,155,5
198,37,5
164,147,5
132,321,5
34,152,5
171,183,2
114,20,3
66,287,5
28,400,5
50,375,5
100,311,5
